sheet,key,column,type,old,new
"eConsent, eCOA & Sites",UI Improvements for Multi-Part and Composite Surveys,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Rule Instance Ranges and Custom Functions,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",eConsent Preview Role Selector,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Digital Delegation General Enhancements,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Replaceable Tokens for Library Surveys,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Customizable End Status Labels,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Authenticated Discovery Endpoint for Inbound API,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",iOS 26 Support,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Study-Level Site Connect Document Auto File Override (navigation change only),,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",eCOA Assigned Access Permisssions,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",eCOA Custom Site Roles,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Study Archival Automated Reattempts,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",System Accessibility Enhancements,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Linking In-Person Study to Existing Account,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Handling Removed Sites,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Clearer Reporting Outage Information,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Summary of Change Character Validation,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Compliance Dashboard,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Study Lifecycle Action: Change to Active,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",PI Approval Workflow Available in eBinder Upload,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Survey Schedule and Compliance Enhancements,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",CTMS Address Book for Invoicing,,Record Added,,Entire Record Added
"eConsent, eCOA & Sites",Compliance Schedule View,,Record Added,,Entire Record Added
